ID Ciudad Genero Edad Experiencia_Profesional Estrato_Social Estado_Civil Grado_Instruccion Salario
48 Arequipa Masculino 29 0 2 Soltero Magister 5991
49 Arequipa Masculino 36 16 2 Casado Doctor 8271
50 Arequipa Femenino 49 37 2 Casado Bachiller 15565
51 Lima Masculino 19 0 2 Viudo Colegio 2677
52 Arequipa Femenino 38 13 1 Soltero Bachiller 3986
53 Trujillo Masculino 33 9 3 Soltero Doctor 19166
54 Arequipa Masculino 44 21 1 Soltero Colegio 5967
55 Arequipa Masculino 43 26 1 Casado Colegio 6453
56 Otros Masculino 38 18 1 Viudo Colegio 5457
57 Piura Femenino 50 22 1 Viudo Colegio 5756
58 Tumbes Masculino 20 0 2 Soltero Bachiller 4770
59 Trujillo Femenino 44 26 1 Casado Magister 6633
60 Tumbes Femenino 19 0 1 Divorciado Magister 1222
61 Arequipa Femenino 41 12 1 Divorciado Bachiller 3778
62 Otros Masculino 36 12 1 Viudo Magister 3719
63 Trujillo Masculino 45 20 1 Divorciado Doctor 4767
64 Lima Masculino 36 4 2 Soltero Magister 5314
65 Lima Masculino 19 0 2 Casado Bachiller 4668
66 Arequipa Masculino 18 0 1 Soltero Colegio 995
67 Piura Masculino 40 15 1 Viudo Colegio 4935
68 Lima Femenino 34 2 2 Casado Colegio 4392
69 Arequipa Masculino 29 4 2 Viudo Bachiller 4865
70 Arequipa Femenino 32 2 1 Divorciado Colegio 2588
71 Piura Masculino 28 5 1 Soltero Magister 2170
72 Tumbes Femenino 33 13 1 Divorciado Bachiller 4143
73 Tumbes Masculino 26 0 2 Casado Bachiller 5261
74 Piura Masculino 18 0 1 Soltero Colegio 1878
75 Otros Masculino 33 10 2 Soltero Doctor 7474
76 Tumbes Masculino 45 13 2 Viudo Bachiller 9401
77 Trujillo Femenino 54 30 3 Divorciado Colegio 27620
78 Arequipa Femenino 35 5 1 Viudo Bachiller 2751
79 Tumbes Femenino 34 14 1 Casado Colegio 4472
80 Tumbes Femenino 45 19 2 Divorciado Colegio 10564
81 Tumbes Masculino 36 15 1 Soltero Doctor 4259
82 Trujillo Femenino 31 13 1 Casado Colegio 3808
83 Otros Masculino 18 0 1 Casado Bachiller 1528
84 Piura Femenino 22 0 1 Soltero Bachiller 1080
85 Tumbes Femenino 39 18 1 Soltero Magister 5717
86 Otros Masculino 20 0 2 Soltero Doctor 3154
87 Piura Masculino 45 25 1 Casado Magister 6478
88 Tumbes Femenino 22 0 1 Casado Colegio 1320
89 Lima Femenino 33 5 1 Casado Colegio 2422
90 Lima Femenino 35 6 3 Viudo Colegio 13447
91 Arequipa Femenino 35 8 1 Viudo Magister 3262
92 Trujillo Masculino 37 8 1 Soltero Bachiller 2852
93 Lima Femenino 41 18 3 Soltero Bachiller 18056
94 Trujillo Masculino 34 10 2 Soltero Magister 8437
95 Lima Masculino 33 5 1 Divorciado Doctor 3103
96 Trujillo Masculino 37 13 1 Casado Bachiller 4316
97 Tumbes Femenino 31 11 2 Soltero Colegio 8520
98 Tumbes Masculino 50 32 1 Viudo Colegio 7957
99 Trujillo Masculino 18 0 1 Soltero Magister 1523
100 Piura Masculino 45 28 3 Casado Bachiller 26262
101 Piura Masculino 33 8 3 Divorciado Bachiller 13637
102 Tumbes Masculino 39 4 1 Divorciado Colegio 2149
103 Trujillo Femenino 45 16 1 Viudo Magister 4789
104 Otros Masculino 43 19 2 Divorciado Colegio 10802
105 Piura Femenino 28 0 1 Soltero Magister 1458
106 Otros Masculino 51 17 2 Casado Bachiller 9020
107 Otros Masculino 19 0 1 Soltero Magister 1287
108 Trujillo Femenino 44 22 2 Soltero Bachiller 11409
109 Otros Masculino 30 0 1 Viudo Bachiller 1929
110 Trujillo Femenino 18 0 1 Viudo Colegio 1732
111 Arequipa Masculino 18 0 1 Viudo Doctor 1739
112 Otros Femenino 37 8 1 Divorciado Bachiller 3189
113 Trujillo Masculino 57 31 3 Soltero Bachiller 25557
114 Lima Femenino 38 9 1 Divorciado Colegio 3450
115 Trujillo Masculino 46 18 1 Viudo Bachiller 5049
116 Tumbes Masculino 43 18 3 Soltero Colegio 18836
117 Trujillo Femenino 28 1 3 Soltero Colegio 16275
118 Lima Femenino 45 26 2 Viudo Doctor 14339
119 Tumbes Femenino 39 21 2 Soltero Bachiller 11545
120 Trujillo Masculino 37 8 1 Casado Colegio 2522
121 Lima Femenino 45 20 2 Divorciado Colegio 11320
122 Arequipa Masculino 42 18 1 Viudo Magister 5171
123 Trujillo Masculino 29 12 2 Viudo Bachiller 9183
124 Tumbes Masculino 39 17 1 Casado Doctor 4830
125 Tumbes Masculino 26 0 2 Casado Bachiller 4745
126 Trujillo Femenino 41 18 1 Soltero Bachiller 5594
127 Otros Femenino 31 6 1 Casado Doctor 3021
128 Arequipa Masculino 40 13 2 Casado Colegio 7612
129 Arequipa Femenino 39 15 1 Casado Doctor 5240
130 Piura Femenino 32 5 2 Viudo Colegio 6982
131 Trujillo Femenino 40 16 2 Divorciado Magister 9528
132 Lima Masculino 41 18 3 Viudo Bachiller 20835
133 Tumbes Femenino 33 9 1 Divorciado Colegio 3152
134 Tumbes Femenino 47 19 2 Casado Colegio 8634
135 Piura Masculino 49 20 1 Casado Bachiller 5699
136 Otros Masculino 28 0 1 Divorciado Bachiller 1463
137 Arequipa Masculino 27 7 1 Casado Doctor 3039
138 Tumbes Femenino 40 19 2 Soltero Colegio 11455
139 Piura Femenino 26 0 1 Casado Colegio 1852
140 Arequipa Masculino 31 0 2 Divorciado Bachiller 6464
141 Lima Femenino 43 12 1 Soltero Colegio 3352
142 Piura Femenino 29 6 2 Divorciado Bachiller 7361
143 Piura Masculino 18 0 2 Soltero Bachiller 3126
144 Piura Femenino 42 9 1 Soltero Colegio 3482
145 Lima Femenino 19 0 2 Casado Colegio 4661
146 Trujillo Femenino 21 0 2 Viudo Colegio 5697
147 Piura Masculino 18 0 2 Casado Doctor 4858
148 Arequipa Masculino 43 18 1 Viudo Bachiller 4957
149 Piura Femenino 38 17 2 Divorciado Colegio 10416
150 Otros Masculino 40 15 2 Soltero Colegio 9488
151 Trujillo Masculino 43 18 2 Casado Colegio 11182
152 Tumbes Masculino 35 18 1 Casado Colegio 4767
153 Tumbes Femenino 24 0 1 Soltero Bachiller 1262
154 Lima Femenino 41 18 1 Soltero Colegio 5333
155 Tumbes Femenino 48 21 1 Divorciado Colegio 5545
156 Trujillo Femenino 20 0 1 Viudo Colegio 1593
157 Tumbes Femenino 29 2 1 Casado Magister 2208
158 Trujillo Femenino 32 4 3 Divorciado Magister 13550
159 Piura Femenino 22 0 3 Casado Colegio 7915
160 Trujillo Masculino 42 17 3 Viudo Bachiller 22241
161 Tumbes Femenino 29 0 1 Viudo Bachiller 1271
162 Otros Masculino 48 15 1 Divorciado Doctor 4240
163 Trujillo Masculino 36 3 3 Divorciado Magister 12124
164 Tumbes Femenino 42 17 1 Soltero Colegio 4341
165 Otros Masculino 51 30 2 Divorciado Doctor 14665
166 Otros Masculino 38 10 2 Viudo Bachiller 6508
167 Arequipa Femenino 46 21 3 Casado Colegio 23680
168 Arequipa Femenino 37 0 1 Casado Magister 1880
169 Piura Masculino 20 5 2 Soltero Magister 3805
170 Otros Femenino 35 11 1 Soltero Colegio 3618
171 Piura Masculino 42 10 1 Soltero Colegio 3594
172 Arequipa Femenino 40 25 3 Divorciado Magister 22073
173 Trujillo Masculino 33 9 1 Viudo Doctor 3134
174 Arequipa Masculino 23 0 1 Viudo Colegio 1419
175 Lima Femenino 41 17 1 Viudo Colegio 4096
176 Arequipa Masculino 26 6 1 Soltero Magister 3230
177 Lima Femenino 22 0 2 Viudo Magister 6214
178 Tumbes Masculino 41 9 1 Viudo Bachiller 3614
179 Trujillo Masculino 23 5 1 Soltero Bachiller 2494
180 Trujillo Masculino 37 5 2 Divorciado Bachiller 5704
181 Otros Masculino 35 5 1 Casado Magister 3072
182 Otros Masculino 22 3 1 Casado Magister 2108
183 Tumbes Masculino 47 30 1 Viudo Colegio 7593
184 Otros Femenino 29 4 2 Divorciado Bachiller 4769
185 Lima Masculino 47 21 1 Soltero Colegio 5814
186 Tumbes Masculino 30 0 2 Viudo Bachiller 5559
187 Tumbes Masculino 29 4 1 Soltero Bachiller 2229
188 Trujillo Femenino 35 8 2 Soltero Bachiller 6894
189 Lima Masculino 31 0 2 Soltero Bachiller 5857
190 Arequipa Masculino 31 0 1 Soltero Bachiller 1400
191 Tumbes Femenino 26 0 3 Casado Colegio 13077
192 Otros Masculino 23 0 2 Soltero Magister 4207
193 Tumbes Masculino 41 14 1 Divorciado Bachiller 4452
194 Arequipa Masculino 27 0 1 Soltero Magister 1588
195 Piura Masculino 21 0 1 Divorciado Magister 1175
196 Trujillo Masculino 30 5 1 Soltero Magister 2373
197 Otros Femenino 27 0 1 Soltero Colegio 1577
198 Arequipa Femenino 18 0 1 Divorciado Colegio 1605
199 Tumbes Masculino 32 0 1 Casado Magister 1534
200 Trujillo Masculino 37 17 1 Casado Magister 4718
201 Arequipa Masculino 38 6 1 Soltero Bachiller 3203
202 Lima Masculino 39 14 1 Viudo Doctor 4438
203 Tumbes Femenino 25 8 2 Viudo Colegio 5650
204 Trujillo Masculino 32 1 1 Casado Doctor 2073
205 Piura Femenino 25 0 2 Divorciado Colegio 5014
206 Piura Femenino 29 0 3 Soltero Bachiller 8343
207 Trujillo Masculino 23 0 1 Casado Magister 1509
208 Piura Masculino 24 0 1 Viudo Doctor 1183
209 Piura Masculino 41 18 2 Casado Doctor 10927
210 Trujillo Masculino 32 8 1 Viudo Magister 3470
211 Arequipa Masculino 32 12 1 Soltero Bachiller 3658
212 Tumbes Femenino 52 31 2 Soltero Magister 14830
213 Arequipa Masculino 34 7 1 Divorciado Magister 2984
214 Otros Femenino 30 6 1 Soltero Colegio 2149
215 Arequipa Masculino 42 14 2 Casado Doctor 7907
216 Arequipa Femenino 30 1 1 Viudo Colegio 1527
217 Arequipa Masculino 49 22 1 Casado Colegio 6098
218 Lima Masculino 31 8 1 Divorciado Colegio 2547
219 Otros Femenino 29 11 1 Divorciado Colegio 3243
220 Lima Masculino 23 0 1 Divorciado Doctor 1420
221 Trujillo Femenino 38 18 1 Casado Magister 4833
222 Arequipa Femenino 50 22 3 Soltero Colegio 22515
223 Piura Femenino 31 2 2 Viudo Magister 4374
224 Otros Femenino 38 11 1 Viudo Colegio 3529
225 Lima Masculino 38 18 2 Divorciado Doctor 8929
226 Tumbes Masculino 49 28 1 Viudo Magister 6479
227 Arequipa Masculino 42 19 3 Casado Doctor 22220
228 Otros Masculino 24 0 1 Viudo Magister 1569
229 Trujillo Femenino 28 0 1 Soltero Magister 1282
230 Trujillo Femenino 28 8 2 Soltero Bachiller 5032
231 Tumbes Femenino 36 22 1 Viudo Bachiller 5580
232 Otros Masculino 35 11 1 Viudo Bachiller 3915
233 Tumbes Masculino 39 18 1 Casado Bachiller 5405
234 Lima Femenino 28 14 1 Soltero Colegio 4090
235 Otros Femenino 31 10 2 Casado Colegio 6585
236 Tumbes Femenino 42 19 1 Divorciado Bachiller 5368
237 Tumbes Femenino 34 15 1 Viudo Colegio 4312
238 Otros Masculino 28 0 1 Viudo Bachiller 1899
239 Lima Masculino 45 15 1 Soltero Bachiller 4727
240 Otros Masculino 35 12 2 Viudo Doctor 7639
241 Tumbes Femenino 26 8 2 Divorciado Bachiller 7904
242 Arequipa Femenino 52 24 1 Viudo Colegio 6701
243 Tumbes Femenino 23 2 3 Casado Colegio 10049
244 Trujillo Masculino 18 0 1 Viudo Magister 1323
245 Arequipa Masculino 18 0 1 Soltero Bachiller 1740
246 Lima Masculino 42 22 3 Soltero Magister 22031
247 Piura Masculino 30 6 1 Casado Bachiller 2565
248 Arequipa Femenino 32 11 1 Divorciado Colegio 3831
249 Piura Femenino 38 11 1 Soltero Bachiller 4243
250 Tumbes Femenino 30 9 1 Soltero Bachiller 3227
251 Trujillo Femenino 19 0 2 Casado Bachiller 4937
252 Arequipa Masculino 18 0 2 Divorciado Colegio 4858
253 Tumbes Femenino 32 7 1 Viudo Magister 2575
254 Trujillo Femenino 37 6 1 Casado Bachiller 2293
255 Piura Masculino 18 0 1 Divorciado Doctor 1678
256 Tumbes Masculino 38 12 1 Soltero Doctor 3812
257 Piura Femenino 39 17 2 Soltero Bachiller 8028
258 Arequipa Femenino 48 28 1 Divorciado Doctor 7254
259 Lima Femenino 37 7 2 Divorciado Colegio 5851
260 Arequipa Masculino 37 15 2 Viudo Magister 8984
261 Arequipa Femenino 41 8 2 Divorciado Bachiller 7060
262 Piura Femenino 35 13 1 Casado Magister 3779
263 Tumbes Femenino 34 6 1 Soltero Bachiller 2676
264 Arequipa Masculino 36 5 3 Divorciado Magister 17336
265 Trujillo Masculino 42 6 1 Soltero Bachiller 2998
266 Lima Femenino 31 10 1 Soltero Colegio 3646
267 Arequipa Masculino 30 5 1 Soltero Colegio 2268
268 Trujillo Femenino 26 0 1 Viudo Colegio 1645
269 Otros Masculino 25 3 2 Divorciado Doctor 6283
270 Tumbes Femenino 38 10 1 Divorciado Colegio 3713
271 Piura Femenino 50 27 1 Divorciado Magister 6851
272 Lima Femenino 25 6 2 Soltero Bachiller 5478
273 Tumbes Masculino 33 19 1 Soltero Magister 5484
274 Tumbes Femenino 25 0 3 Casado Bachiller 9882
275 Tumbes Masculino 44 21 2 Soltero Bachiller 10225
276 Piura Femenino 32 0 1 Soltero Colegio 904
277 Lima Masculino 37 18 3 Viudo Bachiller 23067
278 Tumbes Femenino 38 15 1 Divorciado Bachiller 4556
279 Piura Femenino 24 0 1 Divorciado Colegio 1906
280 Tumbes Femenino 34 10 2 Viudo Magister 8582
281 Trujillo Masculino 33 6 1 Casado Bachiller 2679
282 Trujillo Masculino 42 10 1 Casado Colegio 3109
283 Trujillo Femenino 23 0 1 Viudo Colegio 1072
284 Arequipa Masculino 23 0 1 Casado Magister 800
285 Lima Masculino 43 22 1 Soltero Bachiller 6372
286 Piura Femenino 29 9 1 Soltero Colegio 3278
287 Arequipa Femenino 28 6 1 Viudo Bachiller 2962
288 Piura Femenino 36 13 1 Divorciado Colegio 4039
289 Lima Femenino 32 13 3 Casado Doctor 16232
290 Piura Femenino 54 26 3 Divorciado Bachiller 24266
291 Trujillo Femenino 38 6 1 Casado Bachiller 2793
292 Trujillo Masculino 37 14 3 Viudo Magister 19902
293 Piura Femenino 44 24 1 Soltero Colegio 6274
294 Arequipa Femenino 34 15 1 Soltero Colegio 4778
295 Otros Masculino 35 6 2 Divorciado Magister 7738
296 Arequipa Masculino 24 0 2 Soltero Magister 4903
297 Lima Femenino 18 3 1 Casado Colegio 1769
298 Tumbes Femenino 23 0 3 Casado Magister 8822
299 Piura Femenino 36 11 2 Divorciado Colegio 8158
300 Trujillo Masculino 25 4 2 Casado Bachiller 4936
301 Tumbes Femenino 42 23 1 Casado Colegio 6482
302 Lima Masculino 42 19 1 Soltero Magister 5578
303 Trujillo Masculino 37 16 2 Casado Doctor 11481
304 Trujillo Masculino 33 11 2 Viudo Magister 7159
305 Trujillo Femenino 21 8 1 Divorciado Bachiller 3360
306 Tumbes Femenino 32 8 1 Divorciado Bachiller 2805
307 Lima Masculino 30 0 1 Casado Bachiller 964
308 Piura Femenino 42 11 2 Viudo Bachiller 8063
309 Otros Femenino 48 13 2 Casado Bachiller 7255
310 Tumbes Masculino 40 14 2 Viudo Doctor 8913
311 Otros Masculino 24 4 3 Divorciado Doctor 12724
312 Piura Masculino 52 24 1 Casado Bachiller 6253
313 Otros Masculino 45 15 1 Casado Bachiller 4461
314 Piura Masculino 37 3 1 Casado Doctor 2150
315 Piura Femenino 18 0 1 Viudo Magister 1214
316 Otros Masculino 25 0 1 Casado Bachiller 1404
317 Lima Femenino 34 7 1 Divorciado Bachiller 3143
318 Tumbes Masculino 43 24 1 Viudo Doctor 6283
319 Trujillo Femenino 23 2 3 Casado Bachiller 13197
320 Arequipa Femenino 65 31 3 Divorciado Bachiller 28308
321 Arequipa Femenino 18 0 1 Viudo Colegio 2249
322 Arequipa Femenino 33 11 1 Divorciado Colegio 3496
323 Arequipa Femenino 32 11 1 Divorciado Magister 3892
324 Trujillo Masculino 28 8 3 Soltero Bachiller 14003
325 Piura Femenino 32 6 1 Divorciado Bachiller 2379
326 Lima Masculino 42 18 1 Soltero Doctor 4990
327 Trujillo Femenino 26 6 2 Viudo Colegio 6745
328 Arequipa Masculino 18 0 1 Viudo Magister 1865
329 Tumbes Masculino 36 11 2 Divorciado Colegio 7103
330 Lima Femenino 35 6 1 Viudo Bachiller 2680
331 Lima Femenino 35 12 1 Viudo Colegio 4009
332 Arequipa Masculino 42 16 2 Casado Doctor 8925
333 Arequipa Masculino 35 5 1 Casado Colegio 2579
334 Lima Femenino 43 15 2 Divorciado Colegio 8076
335 Tumbes Masculino 18 0 2 Casado Magister 4897
336 Otros Masculino 24 8 1 Divorciado Bachiller 3018
337 Arequipa Masculino 38 12 1 Soltero Magister 3986
338 Otros Masculino 31 7 1 Viudo Bachiller 3014
339 Tumbes Masculino 44 22 1 Viudo Colegio 5891
340 Piura Femenino 25 3 2 Viudo Colegio 6376
341 Otros Femenino 42 9 2 Viudo Colegio 6620
342 Tumbes Femenino 28 1 1 Viudo Bachiller 1181
343 Arequipa Femenino 24 0 1 Casado Colegio 1444
344 Trujillo Femenino 32 2 1 Soltero Colegio 1861
345 Tumbes Masculino 35 13 2 Divorciado Magister 10060
346 Piura Femenino 23 0 1 Divorciado Colegio 1774
347 Trujillo Masculino 27 0 2 Casado Colegio 6924
348 Tumbes Masculino 23 0 2 Casado Doctor 6368
349 Tumbes Masculino 45 24 2 Casado Bachiller 13180
350 Tumbes Masculino 42 20 1 Casado Doctor 5209
351 Arequipa Femenino 25 5 1 Casado Bachiller 2573
352 Piura Femenino 41 15 1 Casado Bachiller 4883
353 Trujillo Masculino 32 5 2 Casado Bachiller 5846
354 Otros Masculino 24 0 2 Soltero Doctor 6109
355 Lima Masculino 39 5 2 Viudo Bachiller 4326
356 Otros Femenino 32 0 3 Divorciado Magister 9473
357 Otros Femenino 44 25 2 Viudo Bachiller 12814
358 Otros Femenino 33 0 1 Soltero Magister 1548
359 Tumbes Masculino 47 21 1 Soltero Doctor 5423
360 Piura Femenino 30 7 2 Viudo Colegio 8429
361 Otros Femenino 37 3 1 Soltero Colegio 1517
362 Tumbes Femenino 39 12 2 Soltero Colegio 9470
363 Otros Femenino 38 4 1 Viudo Colegio 2490
364 Piura Masculino 37 12 1 Divorciado Magister 3444
365 Trujillo Femenino 35 14 1 Viudo Colegio 4079
366 Tumbes Masculino 34 19 2 Viudo Colegio 11522
367 Trujillo Masculino 49 18 1 Casado Doctor 4714
368 Lima Masculino 44 23 1 Divorciado Bachiller 6551
369 Otros Femenino 29 0 2 Soltero Colegio 3391
370 Otros Masculino 49 23 1 Divorciado Bachiller 5959
371 Otros Femenino 36 9 3 Casado Colegio 12447
372 Arequipa Femenino 29 0 1 Viudo Bachiller 1663
373 Otros Masculino 37 14 2 Divorciado Magister 9639
374 Piura Femenino 33 10 2 Soltero Doctor 8142
375 Lima Femenino 36 12 1 Divorciado Colegio 4219
376 Piura Masculino 25 0 1 Divorciado Doctor 1498
377 Trujillo Femenino 27 4 2 Viudo Doctor 4472
378 Piura Masculino 49 25 2 Casado Bachiller 13745
379 Trujillo Femenino 45 16 2 Divorciado Colegio 10008
380 Arequipa Femenino 26 0 3 Divorciado Bachiller 14735
381 Piura Masculino 26 0 1 Viudo Colegio 1097
382 Otros Masculino 52 27 1 Soltero Doctor 7329
383 Arequipa Masculino 54 25 1 Soltero Colegio 6399
384 Lima Femenino 27 1 3 Divorciado Colegio 13463
385 Otros Femenino 22 0 2 Divorciado Magister 5696
386 Piura Masculino 61 27 1 Viudo Magister 6776
387 Piura Masculino 37 21 2 Soltero Colegio 12459
388 Trujillo Femenino 37 8 2 Viudo Colegio 7007
389 Piura Femenino 36 9 2 Soltero Doctor 6691
390 Arequipa Masculino 49 24 1 Casado Colegio 6682
391 Tumbes Femenino 33 11 3 Viudo Bachiller 16164
392 Piura Femenino 50 26 2 Divorciado Colegio 10859
393 Arequipa Femenino 33 0 3 Soltero Colegio 10795
394 Lima Masculino 40 15 3 Viudo Bachiller 20389
395 Arequipa Femenino 25 2 1 Viudo Magister 1923
396 Lima Masculino 37 16 1 Soltero Bachiller 4554
397 Otros Femenino 47 24 2 Casado Colegio 11837
398 Arequipa Masculino 33 8 1 Soltero Magister 3064
399 Arequipa Femenino 48 30 1 Casado Magister 7883
400 Piura Femenino 62 31 2 Divorciado Magister 13357
401 Otros Masculino 44 19 1 Soltero Bachiller 5498
402 Arequipa Masculino 33 1 2 Soltero Colegio 4671
403 Trujillo Masculino 36 6 1 Casado Magister 2536
404 Lima Femenino 31 0 1 Viudo Bachiller 1485
405 Trujillo Masculino 57 39 1 Soltero Doctor 9717
406 Trujillo Masculino 18 0 1 Viudo Bachiller 1073
407 Tumbes Masculino 36 13 3 Soltero Bachiller 16642
408 Arequipa Femenino 36 11 1 Casado Colegio 3634
409 Lima Masculino 37 15 1 Soltero Magister 4552
410 Piura Femenino 19 0 1 Viudo Bachiller 1558
411 Tumbes Masculino 37 12 2 Casado Doctor 9886
412 Arequipa Femenino 37 23 1 Viudo Bachiller 6168
413 Trujillo Femenino 48 19 2 Casado Bachiller 9648
414 Piura Masculino 40 14 3 Divorciado Colegio 16004
415 Lima Masculino 46 26 1 Casado Bachiller 6430
416 Otros Femenino 25 6 2 Divorciado Colegio 4681
417 Otros Femenino 34 12 2 Casado Colegio 9652
418 Trujillo Masculino 37 20 1 Viudo Magister 5221
419 Trujillo Femenino 38 12 1 Viudo Bachiller 4029
420 Lima Masculino 28 0 2 Viudo Magister 4981
421 Piura Masculino 50 24 1 Divorciado Magister 5827
422 Trujillo Masculino 29 1 2 Casado Magister 4773
423 Piura Masculino 19 1 1 Soltero Bachiller 1093
424 Lima Masculino 39 22 2 Soltero Colegio 12284
425 Otros Femenino 42 21 1 Soltero Doctor 5720
426 Trujillo Femenino 44 15 1 Soltero Colegio 4853
427 Lima Masculino 26 5 2 Viudo Colegio 5091
428 Arequipa Femenino 33 5 2 Soltero Bachiller 6449
429 Piura Femenino 22 0 1 Casado Bachiller 1500
430 Trujillo Masculino 43 16 2 Divorciado Magister 9098
431 Otros Masculino 38 18 1 Viudo Colegio 4769
432 Piura Femenino 44 24 2 Viudo Bachiller 13495
433 Lima Femenino 41 17 2 Viudo Bachiller 8132
434 Otros Masculino 29 5 1 Casado Bachiller 2712
435 Otros Masculino 37 21 1 Casado Magister 5253
436 Trujillo Masculino 18 0 2 Viudo Doctor 4367
437 Otros Masculino 40 25 1 Divorciado Magister 6538
438 Lima Masculino 45 22 1 Casado Magister 5639
439 Piura Femenino 26 1 1 Divorciado Colegio 1469
440 Lima Femenino 18 0 1 Casado Bachiller 2008
441 Tumbes Femenino 20 2 3 Divorciado Colegio 13323
442 Trujillo Femenino 24 1 1 Soltero Magister 1765
443 Arequipa Masculino 47 23 1 Casado Doctor 6353
444 Trujillo Femenino 35 15 2 Casado Colegio 9484
445 Tumbes Femenino 23 5 1 Casado Doctor 2447
446 Tumbes Masculino 41 22 2 Soltero Magister 10859
447 Trujillo Masculino 18 0 2 Viudo Magister 3365
448 Lima Femenino 33 10 2 Casado Colegio 6677
449 Trujillo Femenino 46 14 2 Casado Colegio 7624
450 Arequipa Masculino 32 13 1 Divorciado Magister 3751
451 Trujillo Masculino 48 21 1 Divorciado Doctor 4701
452 Lima Femenino 53 30 2 Soltero Bachiller 14061
453 Piura Masculino 23 0 1 Divorciado Doctor 1197
454 Lima Masculino 23 1 1 Soltero Doctor 1716
455 Lima Femenino 26 0 1 Viudo Bachiller 1032
456 Tumbes Femenino 40 24 1 Casado Colegio 6592
457 Lima Femenino 43 17 1 Casado Magister 4832
458 Lima Masculino 47 22 1 Soltero Colegio 6234
459 Otros Femenino 48 18 1 Casado Magister 5254
460 Trujillo Femenino 46 22 1 Soltero Bachiller 6181
461 Lima Masculino 44 17 2 Divorciado Bachiller 9508
462 Otros Femenino 37 10 3 Soltero Doctor 15225
463 Arequipa Masculino 26 4 1 Divorciado Bachiller 2755
464 Lima Masculino 28 3 2 Soltero Colegio 6931
465 Arequipa Masculino 39 15 2 Soltero Magister 8334
466 Tumbes Femenino 52 21 1 Divorciado Colegio 6307
467 Otros Femenino 52 26 2 Divorciado Colegio 11671
468 Otros Masculino 18 0 1 Casado Doctor 1786
469 Otros Femenino 27 0 1 Viudo Colegio 1408
470 Tumbes Masculino 49 22 1 Viudo Bachiller 5977
471 Otros Femenino 24 0 1 Casado Colegio 1658
472 Piura Masculino 19 0 1 Casado Magister 935
473 Arequipa Masculino 41 8 1 Viudo Bachiller 3199
474 Otros Femenino 52 22 2 Viudo Colegio 12297
475 Piura Femenino 54 27 1 Divorciado Colegio 7471
476 Piura Masculino 40 18 1 Casado Colegio 5304
